N	Familia	Genero	species	Autor	Sinonimos	Referencias	Taxones_infraespeceficos	Habito	Origen	Cat	Especimen_Representativo	Notas	Regiones_Biogeograficas	Elevacion_Minima	Elevacion_Maxima	Departamentos	Distribucion_global
5138	ORCHIDACEAE	Stelis	Stelis navicularis	Garay		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	"St. John 20875 (HT: St John Herbarium	 IT: GH	 US)"	Tipo de Colombia	Andes	2835 m	2835 m	Caldas	
5139	ORCHIDACEAE	Stelis	Stelis oligoblephara	Schltr.		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 133 (?)	Tipo de Colombia	Andes, Guayana y Serran?a de La Macarena	530 m	530 m	Caquet?	
5140	ORCHIDACEAE	Stelis	Stelis oxysepala	Schltr.		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Schnitter s.n. (?)	Tipo de Colombia	Andes	2000 m	2500 m	Cundinamarca	
5141	ORCHIDACEAE	Stelis	Stelis papilio	O.Duque		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Duque 419 (HT: JAUM)	Tipo de Colombia	Andes	2100 m	2100 m	Risaralda	
5142	ORCHIDACEAE	Stelis	Stelis papiliopsis	O.Duque		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1366 (HT: JAUM)	Tipo de Colombia	Andes	1800 m	2000 m	Antioquia	
5143	ORCHIDACEAE	Stelis	Stelis paraguasensis	Luer		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Silverstone-Sopkin 7955 (HT: CUVC)		Andes	2200 m	2200 m	Valle	
5144	ORCHIDACEAE	Stelis	Stelis pastoensis	Schltr.		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 150 (?)	Tipo de Colombia	Andes	2800 m	2800 m	Nari?o	
5145	ORCHIDACEAE	Stelis	Stelis patella	O.Duque		Duque 2011, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Duque 196 (HT: JAUM)	Conocida solo del tipo	Andes	1900 m	2200 m	Antioquia	Cordillera Central
5146	ORCHIDACEAE	Stelis	Stelis pendularis	O.Duque		Duque 2011, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Duque 2442 (HT: JAUM)	Conocida solo del tipo	Andes	1800 m	1800 m	Risaralda	Cordillera Central
5147	ORCHIDACEAE	Stelis	Stelis pendulata	O.Duque		Duque 2011, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Duque 2280 (HT: JAUM)	Conocida solo del tipo	Andes			Antioquia	Cordillera Central
5148	ORCHIDACEAE	Stelis	Stelis pennelliana	(Luer) Pridgeon & M.W.Chase	Crocodeilanthe pennelliana (Luer) Luer, Pleurothallis pennelliana Luer	Luer 2004, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	"Pennell 2043 (HT: US	 IT: AMES)"	Tipo de Colombia	Andes	1780 m	3200 m	Cundinamarca	
5149	ORCHIDACEAE	Stelis	Stelis petiolaris	Schltr.		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 48 (?)	Tipo de Colombia	Andes	3300 m	3300 m	Nari?o	
5150	ORCHIDACEAE	Stelis	Stelis pilipapillosa	O.Duque		Duque 2011, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1957 (HT: JAUM)	Conocida solo del tipo	Andes			Antioquia	Cordillera Central
5151	ORCHIDACEAE	Stelis	Stelis popayanensis	F.Lehm. & Kraenzl.		Garay 1979, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann 6817 (IT: AMES)	Tipo de Colombia	Andes	2000 m	3000 m	Cauca	
5152	ORCHIDACEAE	Stelis	Stelis pseudocheila	(Luer & R.Escobar) Pridgeon & M.W.Chase	Pleurothallis pseudocheila Luer & R.Escobar, Specklinia pseudocheila (Luer & R.Escobar) Luer	Luer 2004, Viveros & Higgins 2007, Govaerts et al. 2013		Hierba, Ep?fita	Nativa	No Evaluada	Luer 8186 (HT: SEL)	Conocida solo del tipo	Andes	1100 m	1100 m	Cauca	
5153	ORCHIDACEAE	Stelis	Stelis pyramidalis	O.Duque		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Duque 666 (HT: JAUM)	Tipo de Colombia	Andes	2300 m	2300 m	Antioquia	
5154	ORCHIDACEAE	Stelis	Stelis retroversa	O.Duque		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1308 (HT: JAUM)	Tipo de Colombia	Andes	2100 m	2300 m	Antioquia	
5155	ORCHIDACEAE	Stelis	Stelis rhamphosa	O.Duque		Duque 2011, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Gonzaga s.n. (HT: JAUM)	Conocida solo del tipo	Andes	1800 m	1800 m	Valle	Cordillera Occidental
5156	ORCHIDACEAE	Stelis	Stelis rhomboidea	Garay		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Cuatrecasas 9465 (HT: US)	Tipo de Colombia	Andes	2600 m	2840 m	Cundinamarca	
5157	ORCHIDACEAE	Stelis	Stelis rictoria	(Rchb.f.) Pridgeon & M.W.Chase	Crocodeilanthe rictoria (Rchb.f.) Luer, Pleurothallis rictoria Rchb.f.	Luer 1998a, Luer 2004, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	von Warszewicz s.n. (HT: W)	Tipo de Colombia	Andes	1500 m	1500 m	Antioquia	
5158	ORCHIDACEAE	Stelis	Stelis rictus	O.Duque		Duque 2011, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Duque 2468 (HT: JAUM)		Pac?fico	20 m	20 m	Choc?	
5159	ORCHIDACEAE	Stelis	Stelis ringens	Schltr.		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 49 (?)	Tipo de Colombia	Andes	3000 m	3000 m	Nari?o	
5160	ORCHIDACEAE	Stelis	Stelis rodrigoi	(Luer) Pridgeon & M.W.Chase	Condylago rodrigoi Luer	Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	"Luer 1952 (HT: SEL	 IT	 JAUM de Condylago rodrigoi)"		Andes	1400 m	1600 m	Antioquia	
5161	ORCHIDACEAE	Stelis	Stelis ruris	O.Duque		Duque 2011, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Duque 2455 (HT: JAUM)	Conocida solo del tipo	Andes	2200 m	2200 m	Antioquia	Cordillera Central
5162	ORCHIDACEAE	Stelis	Stelis salomonica	O.Duque		Duque 2011, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Murillo s.n. (HT: JAUM)	Conocida solo del tipo	Pac?fico			Choc?	
5163	ORCHIDACEAE	Stelis	Stelis sanguinea	Garay		Garay 1979, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	St. John 20878 (HT: US)	Tipo de Colombia	Andes	3135 m	3135 m	Caldas	
5164	ORCHIDACEAE	Stelis	Stelis scaphoides	O.Duque		Viveros & Higgins 2007, Duque 2008		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1814 (HT: JAUM)	Tipo de Colombia	Andes	1800 m	1800 m	Antioquia	
5165	ORCHIDACEAE	Stelis	Stelis schlechteriana	Garay		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 140 (?)	Tipo de Colombia	Andes	2900 m	2900 m	Nari?o	
5166	ORCHIDACEAE	Stelis	Stelis schmidtchenii	Schltr.		Dunsterville & Garay 1979, Viveros & Higgins 2007, Duque 2008		Hierba, Ep?fita	Nativa	No Evaluada	Schmidtchen s.n. (?)	Tipo de Colombia				Antioquia	
5167	ORCHIDACEAE	Stelis	Stelis schnitteri	Schltr.		Viveros & Higgins 2007, Duque 2008		Hierba, Ep?fita	Nativa	No Evaluada	Schnitter s.n. (?)	Tipo de Colombia	Andes	1550 m	1550 m	Cundinamarca	
5168	ORCHIDACEAE	Stelis	Stelis scutella	O.Duque		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1631 (HT: JAUM)	Conocida solo del tipo	Andes	2100 m	2100 m	Desconocido	
5169	ORCHIDACEAE	Stelis	Stelis silverstonei	Luer		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Silverstone-Sopkin 4147 (HT: CUVC)	Tipo de Colombia	Andes	1950 m	1950 m	Choc?	
5170	ORCHIDACEAE	Stelis	Stelis spathosa	(Luer & R.Escobar) Pridgeon & M.W.Chase	Crocodeilanthe spathosa (Luer & R.Escobar) Luer, Pleurothallis spathosa Luer & R.Escobar	Luer 2004, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Luer 10175 (HT: MO)	Tipo de Colombia	Andes	3300 m	3300 m	Santander	NE Colombia
5171	ORCHIDACEAE	Stelis	Stelis stapedia	O.Duque		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1376 (HT: JAUM)	Conocida solo del tipo	Andes	1800 m	1800 m	Antioquia	
5172	ORCHIDACEAE	Stelis	Stelis sulcata	O.Duque		Duque 2011, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Duque 2448 (HT: JAUM)	Conocida solo del tipo	Andes			Quind?o	Cordillera Central
5173	ORCHIDACEAE	Stelis	Stelis taurina	O.Duque		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Duque 161 (HT: JAUM)	Conocida solo del tipo	Valle del Cauca	800 m	800 m	Antioquia	
5174	ORCHIDACEAE	Stelis	Stelis tenuipetala	Garay		Viveros & Higgins 2007, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	von Sneidern 1097 (HT: S)	Tipo de Colombia	Andes	2700 m	2700 m	Antioquia, Cauca	
5175	ORCHIDACEAE	Stelis	Stelis trilobata	O.Duque		Duque 2011, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Villegas s.n. (JAUM)	Conocida solo del tipo	Andes	2500 m	2500 m	Antioquia	Cordillera Central
5176	ORCHIDACEAE	Stelis	Stelis trimera	Luer		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	"Garc?a-Barriga s.n. (HT: US	 IT: COL)"		Andes	2600 m	2600 m	Boyac?, Santander	
5177	ORCHIDACEAE	Stelis	Stelis umbriae	Schltr.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Hern?ndez 739 (COL)		Andes	2600 m	2600 m	Cundinamarca	
5178	ORCHIDACEAE	Stelis	Stelis verecunda	Schltr.		Viveros & Higgins 2007, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1802 (JAUM)	Tipo de Colombia	Andes	800 m	2500 m	Antioquia, Cundinamarca	
5179	ORCHIDACEAE	Stelis	Stelis virgulata	Schltr.		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 44 (?)	Tipo de Colombia	Andes	3000 m	3000 m	Nari?o	
5180	ORCHIDACEAE	Stelis	Stelis walteri	Schltr.		Viveros & Higgins 2007, Duque 2008		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 170 (?)	Tipo de Colombia	Andes	2900 m	2900 m	Nari?o	
5181	ORCHIDACEAE	Stelis	Stelis werneri	Schltr.		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 158 (?)	Tipo de Colombia	Andes	530 m	530 m	Caquet?, Putumayo	
5182	ORCHIDACEAE	Stenia	Stenia uribei	P.Ortiz		Harding 2008		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1142 (HT: HPUJ)	Tipo de Colombia	Pac?fico	0 m	500 m	Nari?o	Colombia
5183	ORCHIDACEAE	Stephanothelys	Stephanothelys colombiana	Garay	Aspidogyne colombiana (Garay) Ormerod	Ortiz 1995, Due?as 2002, Due?as & Fern?ndez 2007		Hierba	Nativa	No Evaluada	"von Sneidern 743 (HT: S	 IT: AMES)"	Conocida solo del tipo	Andes	1000 m	1000 m	Cauca	
5184	ORCHIDACEAE	Sudamerlycaste	Sudamerlycaste jimenezii	(Oakeley) Archila	Ida jimenezii Oakeley	Oakeley 2008		Hierba	Nativa	No Evaluada	Oakeley J61/62 (HT: K-HFO)	Tipo de Colombia	Andes	1600 m	2000 m	Valle	
5185	ORCHIDACEAE	Teagueia	Teagueia lehmannii	Luer		Viveros & Higgins 2007, Govaerts et al. 2013		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann s.n. (HT: K)	Conocida solo del tipo				Cauca	
5186	ORCHIDACEAE	Teagueia	Teagueia phasmida	(Luer & R.Escobar) O.Gruss & M.Wolff	Platystele phasmida Luer & R.Escobar	Luer 1990, Viveros & Higgins 2007, Govaerts et al. 2013		Hierba, Ep?fita	Nativa	No Evaluada	"Escobar 3404 (HT: JAUM	 IT: MO)"	Conocida solo del tipo	Andes	2430 m	2430 m	Antioquia	
5187	ORCHIDACEAE	Teagueia	Teagueia rex	(Luer & R.Escobar) O.Gruss & M.Wolff	Platystele rex Luer & R.Escobar, Teagueia rex (Luer & R.Escobar) Luer	Luer 1990, Viveros & Higgins 2007, Govaerts et al. 2013		Hierba, Ep?fita	Nativa	No Evaluada	"Luer 3133 (HT: SEL	 IT: JAUM)"	Tipo de Colombia	Andes	2200 m	2200 m	Putumayo	
5188	ORCHIDACEAE	Telipogon	Telipogon albertii	Rchb.f.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 87 (HPUJ)	Tipo de Colombia	Andes	1700 m	2100 m	Cundinamarca, Norte de Santander	Colombia
5189	ORCHIDACEAE	Telipogon	Telipogon alvarezii	P.Ortiz		Ortiz 2008		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1287 (HT: HPUJ)	Tipo de Colombia	Andes	2400 m	2400 m	Boyac?, Cundinamarca	Colombia
5190	ORCHIDACEAE	Telipogon	Telipogon berthae	P.Ortiz		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1058 (HT: HPUJ)	Tipo de Colombia	Andes	2000 m	2620 m	Cundinamarca, Santander	Colombia
5191	ORCHIDACEAE	Telipogon	Telipogon caucanus	Schltr.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann 6030 (HT: K)	Tipo de Colombia	Andes	3000 m	3600 m	Cauca	Colombia
5192	ORCHIDACEAE	Telipogon	Telipogon chrysocrates	Rchb.f.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Roezl s.n. (HT: W, destruido?)	Tipo de Colombia	Andes	2550 m	2550 m	Antioquia	Colombia
5193	ORCHIDACEAE	Telipogon	Telipogon cristinae	P.Ortiz		Ortiz, P. 2011c		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1353 (HT: HPUJ)	Tipo de Colombia	Andes	3400 m	3400 m	Cundinamarca	Colombia
5194	ORCHIDACEAE	Telipogon	Telipogon dubius	Rchb.f.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Wallis s.n. (HT: W, destruido?)	Tipo de Colombia	Andes	1600 m	1600 m	Antioquia	Colombia
5195	ORCHIDACEAE	Telipogon	Telipogon eberhardtii	Braas		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Braas 41 (herb. pers.)	Tipo de Colombia	Andes	2500 m	2500 m	Putumayo	Colombia
5196	ORCHIDACEAE	Telipogon	Telipogon esperanzae	P.Ortiz				Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1313 (HT: HPUJ)	Tipo de Colombia	Andes	3000 m	3000 m	Quind?o	Cordillera Central
5197	ORCHIDACEAE	Telipogon	Telipogon felinus	Rchb.f.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Romero-Casta?eda 4591 (COL)	Tipo de Colombia	Sierra Nevada de Santa Marta	2800 m	2800 m	Magdalena	Colombia
5198	ORCHIDACEAE	Telipogon	Telipogon gracilis	Schltr.		Escobar, R. 1990-1998, Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada		Tipo de Colombia	Andes	2500 m	2500 m	Antioquia	Colombia
5199	ORCHIDACEAE	Telipogon	Telipogon hastatus	Rchb.f.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Bruchm?ller s.n. (HT: W, destruido?)	Tipo de Colombia	Andes	2000 m	2000 m	Norte de Santander	Colombia
5200	ORCHIDACEAE	Telipogon	Telipogon hemimelas	Rchb.f.	Telipogon gustavi Rchb.f.	Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Kalbreyer 17216 (HT: W, destruido)	Tipo de Colombia	Andes	3300 m	3300 m	Antioquia	Colombia
5201	ORCHIDACEAE	Telipogon	Telipogon kalbreyerianus	Kraenzl.		Kr?nzlin 1920		Hierba, Ep?fita	Nativa	No Evaluada	Kalbreyer 1721c (HT: W, destruido?)	Tipo de Colombia	Andes	2300 m	2300 m	Antioquia	Colombia
5202	ORCHIDACEAE	Telipogon	Telipogon lagunae	Schltr.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 204 (HT: B destruido)	Conocida solo del tipo	Andes	2800 m	2800 m	Nari?o	Colombia
5203	ORCHIDACEAE	Telipogon	Telipogon mariae	P.Ortiz		Ortiz, P. 2011c		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1378 (HT: HPUJ)	Tipo de Colombia	Andes	1900 m	1900 m	Valle	Colombia
5204	ORCHIDACEAE	Telipogon	Telipogon musaicus	Rchb.f.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Roezl s.n. (HT: W, destruido)	Tipo de Colombia	Andes			Antioquia	Colombia
5205	ORCHIDACEAE	Telipogon	Telipogon nigropurpureus	P.Ortiz	Stellilabium atropurpureum P.Ortiz, Telipogon ortizii N.H.Williams & Dressler	Ortiz 2008		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1133 (HT: HPUJ)	Tipo de Colombia	Andes	2330 m	2330 m	Boyac?	Colombia
5206	ORCHIDACEAE	Telipogon	Telipogon nitens	Rchb.f.		Kr?nzlin 1920		Hierba, Ep?fita	Nativa	No Evaluada	Roezl s.n. (HT: W, destruido?)	Conocida solo del tipo	Andes	1400 m	1400 m	Antioquia	Colombia
5207	ORCHIDACEAE	Telipogon	Telipogon octavioi	Dodson & R.Escobar		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 17018 (HT: RPSC)	Tipo de Colombia	Andes	3150 m	3150 m	Putumayo	Colombia
5208	ORCHIDACEAE	Telipogon	Telipogon ortizii	Dodson & R.Escobar		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1288 (HPUJ)	Tipo de Colombia	Andes	2900 m	3000 m	Cundinamarca	Colombia
5209	ORCHIDACEAE	Telipogon	Telipogon ospinae	Dodson & R.Escobar		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Ospina 231 (HT: JAUM)	Tipo de Colombia	Andes	2550 m	2550 m	Antioquia	Colombia
5210	ORCHIDACEAE	Telipogon	Telipogon pastoanus	Schltr.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann 6875 (HT: B destruido)	Tipo de Colombia	Andes	3000 m	3000 m	Nari?o	Colombia
5211	ORCHIDACEAE	Telipogon	Telipogon patinii	Rchb.f.	Telipogon suffusus Kraenzl.	Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann s.n. (K)	Tipo de Colombia	Andes			Antioquia	Colombia
5212	ORCHIDACEAE	Telipogon	Telipogon polymerus	Rchb.f.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 618 (HPUJ)	Tipo de Colombia	Andes	1700 m	1900 m	Antioquia	Colombia
5213	ORCHIDACEAE	Telipogon	Telipogon povedanus	P.Ortiz		Ortiz, P. 2011c		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1355 (HT: HPUJ)	Tipo de Colombia	Andes	3000 m	3000 m	Cundinamarca	Cordillera Oriental
5214	ORCHIDACEAE	Telipogon	Telipogon putumayensis	Dodson & R.Escobar		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 3756 (HT: RPSC)	Tipo de Colombia	Andes	2200 m	2200 m	Putumayo	Colombia
5215	ORCHIDACEAE	Telipogon	Telipogon roezlii	Rchb.f.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Roezl s.n. (HT: W, destruido?)	Tipo de Colombia	Sierra Nevada de Santa Marta			Magdalena	Colombia
5216	ORCHIDACEAE	Telipogon	Telipogon roseus	Garay		Garay 1956		Hierba, Ep?fita	Nativa	No Evaluada	Grant 9743 (IT: US)	Conocida solo del tipo	Andes	2050 m	2050 m	Cundinamarca	Cordillera Oriental
5217	ORCHIDACEAE	Telipogon	Telipogon schmidtchenii	Kraenzl.		Kr?nzlin 1920		Hierba, Ep?fita	Nativa	No Evaluada	Schmidtchen s.n. (HT: W)	Tipo de Colombia	Andes			Antioquia	Colombia
5218	ORCHIDACEAE	Telipogon	Telipogon tabanensis	Dodson & R.Escobar		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 3734 (HT: RPSC)	Tipo de Colombia	Andes	2800 m	3250 m	Nari?o	Colombia
5219	ORCHIDACEAE	Telipogon	Telipogon uribei	P.Ortiz		Ortiz, P. 2011c		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1352 (HT: HPUJ)	Tipo de Colombia	Andes	3400 m	3400 m	Cundinamarca	Colombia
5220	ORCHIDACEAE	Telipogon	Telipogon valenciae	Dodson & R.Escobar		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 4015 (HT: JAUM)	Tipo de Colombia	Andes	2930 m	3200 m	Quind?o	Colombia
5221	ORCHIDACEAE	Telipogon	Telipogon vieirae	Dodson & R.Escobar		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 3378 (HT: RPSC)	Tipo de Colombia	Andes	2450 m	2450 m	Antioquia	Colombia
5222	ORCHIDACEAE	Telipogon	Telipogon wallisii	Rchb.f.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Wallis s.n. (HT: W, destruido, Ortiz foto)	Tipo de Colombia	Andes	2600 m	3300 m	Antioquia	Colombia
5223	ORCHIDACEAE	Telipogon	Telipogon yolandae	P.Ortiz		Ortiz, P. 2011c		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1354 (HT: HPUJ)	Tipo de Colombia	Andes	3000 m	3000 m	Cundinamarca	Colombia
5224	ORCHIDACEAE	Telipogon	Telipogon zephyrinus	Rchb.f.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Bruchm?ller s.n. (HT: W, destruido?)	Tipo de Colombia	Andes			Norte de Santander	Colombia
5225	ORCHIDACEAE	Teuscheria	Teuscheria elegans	Garay		Ortiz 1995, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 308 (HT: AMES)		Andes	900 m	1000 m	Antioquia, Nari?o	
5226	ORCHIDACEAE	Trevoria	Trevoria chloris	Lehm.		Garay 1970b		Hierba, Ep?fita	Nativa	No Evaluada	Seeger s.n. (M)		Andes	1000 m	1700 m	Cauca, Valle	Colombia
5227	ORCHIDACEAE	Trevoria	Trevoria escobariana	Garay		Garay 1970b		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 615 (HT: AMES)	Conocida solo del tipo	Andes	1000 m	1000 m	Valle	Colombia
5228	ORCHIDACEAE	Trevoria	Trevoria lehmannii	Rolfe		Garay 1970b		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann s.n. (K)		Andes	2000 m	2000 m	Nari?o, Valle	Colombia
5229	ORCHIDACEAE	Trichocentrum	Trichocentrum brachyceras	Schltr.				Hierba, Ep?fita	Nativa	No Evaluada	Madero s.n. (B, destruido)	Tipo de Colombia	Andes			Cauca	
5230	ORCHIDACEAE	Trichocentrum	Trichocentrum viridulum	Pupulin		Pupulin 1998		Hierba, Ep?fita	Nativa	No Evaluada	Pupulin 388 (HT: SEL, IT: MO)	Tipo de Colombia	Andes			Santander	Cordillera Oriental
5231	ORCHIDACEAE	Trichoceros	Trichoceros cristinae	P.Ortiz & C.Uribe		Ortiz 2009b		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1312 (HT: HPUJ)		Andes	2000 m	3000 m	Norte de Santander	Cordillera Oriental
5232	ORCHIDACEAE	Trichopilia	Trichopilia backhousiana	Rchb.f.		Ortiz 1995, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Backhouse s.n. (HT: K)	Tipo de Colombia	Andes	2000 m	2000 m	Meta	
5233	ORCHIDACEAE	Trichopilia	Trichopilia callichroma	Rchb.f.	Helcia callichroma (Rchb.f.) Dodson, Neoescobaria callichroma (Rchb.f.) Garay	Ortiz 1995, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 946 (AMES)	Tipo de Colombia	Andes	1500 m	1600 m	Risaralda	
5234	ORCHIDACEAE	Trichopilia	Trichopilia concepcionis	Kraenzl.		Ortiz 1995, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 706 (AMES)	Tipo de Colombia	Andes	1600 m	1700 m	Antioquia	Cordillera Central
5235	ORCHIDACEAE	Trichosalpinx	Trichosalpinx acestrochila	Luer		Viveros & Higgins 2007, Id?rraga et al. 2011, Govaerts et al. 2013		Hierba, Ep?fita	Nativa	No Evaluada	Luer 16908 (HT: MO)	Conocida solo del tipo	Valle del Magdalena	800 m	800 m	Antioquia	
5236	ORCHIDACEAE	Trichosalpinx	Trichosalpinx alabastra	(Luer & R.Escobar) Luer	Pleurothallis alabastra Luer & R.Escobar	Luer 1997, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Luer 7614 (HT: SEL)	Tipo de Colombia	Andes	2370 m	2600 m	Antioquia, Santander, Tolima	
5237	ORCHIDACEAE	Trichosalpinx	Trichosalpinx ballatrix	Luer & R.Escobar		Luer 1997, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Luer 8748 (HT: SEL)	Tipo de Colombia	Andes	2380 m	2500 m	Antioquia	
5238	ORCHIDACEAE	Trichosalpinx	Trichosalpinx bricenoensis	Luer & R.Escobar		Viveros & Higgins 2007, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	"Luer 14196 (HT: MO	 IT: JAUM)"	Conocida solo del tipo	Andes	1850 m	1850 m	Antioquia	
5239	ORCHIDACEAE	Trichosalpinx	Trichosalpinx calceolaris	Luer & R.Escobar		Viveros & Higgins 2007, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	Luer 17634 (HT: MO)	Tipo de Colombia	Andes	2700 m	2700 m	Antioquia, Choc?	
5240	ORCHIDACEAE	Trichosalpinx	Trichosalpinx decorata	Luer & R.Escobar		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Luer 16738 (HT: MO)	Tipo de Colombia	Andes	2100 m	2100 m	Choc?, Valle	
5241	ORCHIDACEAE	Trichosalpinx	Trichosalpinx ectopa	Luer		Luer 1997, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Luer 14202 (HT: MO)	Tipo de Colombia	Andes	1850 m	2700 m	Antioquia, Valle	
